name,_wkshell,_wks_percentile_bucket
AT2G20580,324.0,95.0
AT5G25610,63.0,45.0
AT3G56150,276.0,95.0
AT5G25752,,
AT4G25740,259.0,90.0
AT5G28020,4.0,5.0
AT5G19990,309.0,95.0
AT5G62090,13.0,20.0
AT5G25757,257.0,90.0
AT5G33320,40.0,35.0
AT5G41520,263.0,95.0
AT5G35620,6.0,10.0
AT5G52650,263.0,90.0
AT5G39670,8.0,15.0
AT5G56670,232.0,90.0
AT5G38970,84.0,50.0
AT5G58290,327.0,95.0
AT5G41370,84.0,50.0
AT1G07810,63.0,45.0
AT5G57160,84.0,50.0
AT1G07890,217.0,90.0
AT5G57940,105.0,55.0
AT1G07940,217.0,75.0
AT5G66790,84.0,50.0
AT1G07980,84.0,55.0
AT5G40100,40.0,35.0
AT2G29540,196.0,70.0
AT5G40160,61.0,45.0
AT1G08070,40.0,35.0
AT5G50320,5.0,10.0
AT1G08200,3.0,5.0
AT5G60980,15.0,20.0
AT1G21750,40.0,35.0
AT5G44790,63.0,45.0
AT1G08290,6.0,10.0
AT5G45260,2.0,0.0
AT3G10730,13.0,20.0
AT5G45290,40.0,35.0
AT5G04990,7.0,15.0
AT5G47590,40.0,35.0
AT2G37190,307.0,95.0
AT5G62790,40.0,35.0
AT3G08530,274.0,95.0
AT5G64940,40.0,35.0
AT3G11130,278.0,95.0
AT5G45900,1.0,0.0
AT3G18740,313.0,95.0
AT5G61500,1.0,0.0
AT4G18100,312.0,95.0
AT5G66470,50.0,35.0
AT4G26910,224.0,90.0
AT5G50480,5.0,10.0
AT5G46430,310.0,95.0
AT5G63470,5.0,10.0
AT5G55070,250.0,90.0
AT5G48630,3.0,5.0
AT5G67630,305.0,95.0
AT5G49230,1.0,0.0
AT1G26110,128.0,60.0
AT5G63870,1.0,0.0
AT3G13300,217.0,85.0
AT5G50150,61.0,45.0
AT5G13570,13.0,20.0
AT5G52250,6.0,10.0
AT1G08420,217.0,80.0
AT5G52860,63.0,45.0
AT1G08460,2.0,5.0
AT5G53140,61.0,45.0
AT2G46040,7.0,15.0
AT5G54390,63.0,45.0
AT1G08480,18.0,25.0
