node,homodimer,homotrimer,homotetramer,heterodimer,heterotrimer,heterotetramer,heteropentamer,heterohexamer,heteroheptamer,heterooctamer,heterononamer,heterodecamer,in_complex,complex_partners,complex_count_unknown,complex_count
AT1G11660,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11750,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11850,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11860,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11910,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G11950,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12000,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12030,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12050,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12110,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12160,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12200,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12220,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12230,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12270,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12280,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12310,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12360,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12380,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12410,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12430,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12440,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12470,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12480,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12530,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12840,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12850,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12860,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12900,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12910,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12920,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12960,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G12980,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13060,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13120,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13180,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13190,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13210,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13260,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13280,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13320,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13330,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13370,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13380,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13430,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13440,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13460,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13570,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13630,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G13690,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
