gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G26460,37.06014073,0.998734102,0.013773175,47.2303552,0.992520446,0.044258799,,,
AT1G26630,62.14940603,0.993290779,0.02550609,45.24530943,0.994284897,0.033315386,44.99046821,0.973793661,0.073582878
AT1G26640,,,,53.50712408,0.991483003,0.041603039,,,
AT1G26670,51.76810114,0.988224081,0.036587171,53.88048186,0.988180364,0.045646389,,,
AT1G26830,42.05945953,0.984323818,0.056279226,44.9645586,0.989643231,0.045367084,,,
AT1G26850,39.90921677,0.993939855,0.034835669,44.07046551,0.997565087,0.023488313,44.24333217,0.996460671,0.028555194
AT1G27020,45.64212059,0.997129506,0.027173811,49.38486529,0.997901936,0.022156893,48.27488281,0.985601113,0.055478743
AT1G27310,38.8029904,0.983925517,0.051225123,50.13830119,0.976790072,0.078943985,50.58509788,0.983422929,0.067632451
AT1G27530,54.01660286,0.99639266,0.02555315,52.50598548,0.997991945,0.021599416,53.8544201,0.910288222,0.181512481
AT1G27970,37.0845524,0.996410376,0.023234898,47.92920335,0.997530303,0.023925024,47.6293543,0.99486514,0.033938746
AT1G28120,44.86138667,0.99896634,0.013112516,47.99980798,0.985865548,0.051183478,,,
AT1G28140,50.85328919,0.978397788,0.050785505,56.79906582,0.981592627,0.065083324,56.61956284,0.984890776,0.060370774
AT1G28200,48.26940388,0.998822851,0.01462248,49.42947441,0.994525869,0.036386529,48.00247848,0.996679577,0.02815336
AT1G28320,54.88001045,0.943243023,0.09158009,50.46218883,0.982059644,0.050497554,,,
AT1G29060,56.81512943,0.937520906,0.084672755,61.32052338,0.964736635,0.074066255,,,
AT1G29150,37.92474741,0.998288644,0.015824213,47.21372141,0.995849169,0.028941537,47.12432808,0.996591965,0.027754677
AT1G29260,54.82026821,0.986176381,0.045953522,55.48396809,0.996761727,0.024138346,54.29714142,0.964225079,0.079183987
AT1G29700,50.33026134,0.994675767,0.034812351,54.42188504,0.995962088,0.029615101,53.86263159,0.99630442,0.029037673
AT1G29810,53.65934637,0.971298647,0.077104894,54.92672147,0.994643116,0.03360495,,,
AT1G29880,51.96739147,0.998669829,0.017935945,54.43097559,0.997115678,0.026195998,54.55862194,0.998335874,0.020308052
AT1G29900,42.153559,0.998469012,0.017488335,52.00556047,0.991124018,0.048407605,51.80231487,0.983698327,0.068741428
AT1G29930,34.27895335,0.996402755,0.021702911,62.48296527,0.965691206,0.071761264,63.70220585,0.938176106,0.106826837
AT1G29990,63.75316102,0.98755903,0.029921071,56.25031061,0.970535358,0.068013236,59.71563122,0.966066368,0.083301498
AT1G30120,39.8479382,0.999435606,0.010255273,52.85743093,0.974762556,0.075587759,51.59981639,0.942350999,0.107913913
AT1G30230,,,,52.66999324,0.977562744,0.06621402,,,
AT1G30360,37.32230152,0.995689145,0.024324984,56.15356203,0.992629832,0.038050683,56.15887116,0.991461773,0.041511794
AT1G30380,34.46587406,0.980473958,0.047523236,58.91892542,0.972474996,0.072098796,61.78567213,0.907265576,0.150357714
AT1G30400,,,,49.99504348,0.984736528,0.053588338,,,
AT1G30480,52.75978452,0.93986384,0.098118909,,,,,,
AT1G30530,39.66297744,0.990422921,0.042643176,45.50192554,0.998440264,0.019184095,45.8700082,0.998158858,0.022163906
AT1G30580,41.75484752,0.998420214,0.017345923,42.69697945,0.998604491,0.017702548,42.50649474,0.999280775,0.013015186
AT1G30690,45.34168372,0.998741115,0.016308807,47.36189536,0.996203802,0.030157267,46.35023712,0.998394157,0.020049766
AT1G30970,60.57062582,0.969718003,0.05607061,,,,,,
AT1G31190,49.38589333,0.997849891,0.024169998,54.99816322,0.991031823,0.045282717,55.05719602,0.986777257,0.056689065
AT1G31230,32.82580337,0.994425618,0.026252209,51.32489455,0.99822772,0.019858967,50.68826771,0.997722154,0.023057147
AT1G31280,50.54542177,0.986544983,0.045858073,53.876391,0.970272988,0.086463905,,,
AT1G31330,43.31275354,0.991462156,0.033156057,57.56599249,0.994349874,0.034187763,57.77507727,0.992512965,0.039477734
AT1G31440,56.65837133,0.991081448,0.032739681,53.73818017,0.982231008,0.060972413,,,
AT1G31650,53.41511883,0.972125868,0.083396063,,,,,,
AT1G31760,,,,61.83611775,0.904721263,0.097372721,,,
AT1G31780,,,,47.01687691,0.977370758,0.068423394,,,
AT1G31812,64.4174706,0.972381768,0.048032976,53.21837367,0.992720712,0.035466959,53.93762492,0.97033246,0.079334501
AT1G32060,38.34938821,0.999771784,0.006288324,55.61987591,0.975527678,0.07042265,55.67376728,0.975816114,0.070113825
AT1G32440,41.25626042,0.999454591,0.009952396,51.90358362,0.992014678,0.04239067,50.38932692,0.992263294,0.045396827
AT1G32580,55.54936806,0.989450503,0.037128465,44.93777986,0.995084494,0.032238797,43.95464793,0.987624428,0.053779162
AT1G32900,35.27283551,0.996299632,0.022243669,42.60332887,0.97892826,0.066199101,41.35901217,0.992862357,0.037468508
AT1G32990,55.5914931,0.989746721,0.039028493,56.28806686,0.992713482,0.039621274,56.96692474,0.98509073,0.059296704
AT1G33140,44.3963619,0.991702125,0.029157872,53.14030666,0.98873512,0.046644185,52.77176111,0.988866936,0.047517843
AT1G33170,41.54743896,0.990611573,0.044176203,47.49313656,0.995809843,0.031152972,46.1584897,0.999309788,0.013643292
AT1G33490,48.49357043,0.994954825,0.027156786,57.7476352,0.987030971,0.042382872,56.82811293,0.983133363,0.056300837
AT1G34000,52.00055354,0.998506232,0.013588824,54.76184316,0.994987477,0.03231934,54.61198748,0.994589019,0.032984387
AT1G34430,45.80145249,0.990068193,0.046384895,50.0577387,0.987025665,0.059138453,49.99218552,0.989546852,0.05389814
AT1G35620,42.96339091,0.997741009,0.021744657,48.22688938,0.99879076,0.016708611,45.85831891,0.989215823,0.050167067
AT1G35720,53.71841446,0.991296462,0.045073301,54.00392784,0.998704495,0.016934354,52.91060422,0.999551473,0.010126186
AT1G37130,52.44778403,0.988821566,0.038302161,54.11409192,0.988452552,0.043762161,,,
AT1G42970,37.18618925,0.997625629,0.018285826,54.20323549,0.988190391,0.050840959,53.9793456,0.988731113,0.049796755
