experiment,source_file,source_row,source_protein,source_gene_name,mapping_accession,protein_accession,protein_gene_name_match,gene,mapping_status,selection_rank,selected_for_wide_table,Tm,R2,RSE
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2308,Q94JS1,Q94JS1,Q94JS1,Q94JS1,True,,unmapped_to_nodes,,False,51.20783417,0.983117539,0.057006949
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2310,Q94JT5,Q94JT5,Q94JT5,Q94JT5,True,,unmapped_to_nodes,,False,57.45462173,0.988058177,0.045655083
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2311,Q94JV1,Q94JV1,Q94JV1,Q94JV1,True,,unmapped_to_nodes,,False,48.6437252,0.987476589,0.047975143
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2312,Q94JV5,Q94JV5,Q94JV5,Q94JV5,True,,unmapped_to_nodes,,False,57.68307319,0.985068177,0.057089719
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2313,Q94JY3,Q94JY3,Q94JY3,Q94JY3,True,,unmapped_to_nodes,,False,53.09240982,0.998621093,0.017942298
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2315,Q94K06,Q94K06,Q94K06,Q94K06,True,,unmapped_to_nodes,,False,47.34853406,0.993509234,0.036073591
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2316,Q94K11,Q94K11,Q94K11,Q94K11,True,,unmapped_to_nodes,,False,49.53304125,0.996116986,0.030642096
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2317,Q94K14,Q94K14,Q94K14,Q94K14,True,,unmapped_to_nodes,,False,53.07738818,0.999148378,0.013842499
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2318,Q94K30,Q94K30,Q94K30,Q94K30,True,,unmapped_to_nodes,,False,45.92597201,0.990886579,0.044902847
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2319,Q94K36,Q94K36,Q94K36,Q94K36,True,,unmapped_to_nodes,,False,65.98043928,0.959954907,0.05672401
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2320,Q94K48,Q94K48,Q94K48,Q94K48,True,,unmapped_to_nodes,,False,42.29489915,0.996812854,0.025920848
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2321,Q94K52,Q94K52,Q94K52,Q94K52,True,,unmapped_to_nodes,,False,50.42508554,0.991534018,0.047752853
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2322,Q94K71,Q94K71,Q94K71,Q94K71,True,,unmapped_to_nodes,,False,51.3621968,0.998280191,0.021666308
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2324,Q94K74,Q94K74,Q94K74,Q94K74,True,,unmapped_to_nodes,,False,55.01137004,0.979273151,0.064013072
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2325,Q94K78,Q94K78,Q94K78,Q94K78,True,,unmapped_to_nodes,,False,56.8368568,0.969529389,0.081834584
