source,target
AT1G10290,AT1G59610
AT1G10290,AT4G18060
AT1G10350,AT3G57870
AT1G10430,AT3G47620
AT1G10430,AT5G53000
AT1G10470,AT2G18790
AT1G10470,AT2G36270
AT1G10470,AT2G45820
AT1G10470,AT3G21510
AT1G10470,AT3G57670
AT1G10480,AT1G58100
AT1G10480,AT1G69120
AT1G10480,AT1G69690
AT1G10480,AT3G15030
AT1G10480,AT3G47620
AT1G10480,AT5G08330
AT1G10480,AT5G15210
AT1G10520,AT5G57160
AT1G10590,AT1G63970
AT1G10590,AT2G25000
AT1G10690,AT3G48750
AT1G10760,AT3G11630
AT1G10760,AT3G57870
AT1G10790,AT3G10640
AT1G10820,AT1G10820
AT1G10820,AT3G11280
AT1G10820,AT5G58900
AT1G10840,AT3G56150
AT1G10840,AT3G61140
AT1G10840,AT4G11420
AT1G10840,AT4G14110
AT1G10840,AT5G27640
AT1G10940,AT2G36270
AT1G10940,AT3G44460
AT1G10940,AT4G02570
AT1G10960,AT3G47620
AT1G11130,AT1G11130
AT1G11130,AT1G11310
AT1G11130,AT1G73080
AT1G11130,AT2G19190
AT1G11130,AT2G27060
AT1G11130,AT3G02880
AT1G11130,AT3G13380
AT1G11130,AT3G42640
AT1G11130,AT4G22130
AT1G11130,AT5G10290
AT1G11130,AT5G16000
AT1G11130,AT5G16220
AT1G11130,AT5G48380
AT1G11260,AT3G18480
AT1G11310,AT1G31420
AT1G11310,AT1G48270
AT1G11310,AT3G02130
AT1G11310,AT3G08510
AT1G11310,AT4G35950
AT1G11310,AT5G48380
AT1G11330,AT3G10640
AT1G11330,AT5G06320
AT1G11430,AT1G11430
AT1G11430,AT1G25490
AT1G11430,AT1G32580
AT1G11430,AT1G72530
AT1G11430,AT2G33430
AT1G11430,AT2G35240
AT1G11430,AT3G06790
AT1G11430,AT3G15000
AT1G11430,AT4G20020
AT1G11430,AT5G17490
AT1G11650,AT2G01950
AT1G11650,AT2G28550
AT1G11650,AT3G47620
AT1G11650,AT5G44500
AT1G11650,AT5G61380
AT1G11910,AT2G35940
AT1G11910,AT4G08150
AT1G11910,AT4G32040
AT1G11910,AT5G11060
AT1G11910,AT5G25220
AT1G12050,AT1G18080
AT1G12110,AT1G30270
AT1G12110,AT2G17290
AT1G12110,AT5G04870
AT1G12110,AT5G06320
AT1G12220,AT5G45410
AT1G12220,AT5G46330
AT1G12230,AT1G18080
AT1G12230,AT3G11630
AT1G12270,AT1G15750
AT1G12270,AT3G12580
AT1G12310,AT3G19960
AT1G12310,AT3G49260
AT1G12360,AT1G71820
AT1G12360,AT3G11820
AT1G12360,AT5G61210
AT1G12410,AT1G69690
AT1G12440,AT2G01950
AT1G12440,AT2G42580
AT1G12480,AT2G17290
AT1G12480,AT3G11410
AT1G12480,AT4G04720
AT1G12480,AT4G04740
AT1G12480,AT4G23650
AT1G12480,AT4G33950
AT1G12840,AT1G77760
AT1G12840,AT4G32570
AT1G12840,AT4G37130
AT1G12840,AT5G17290
AT1G12860,AT1G19180
AT1G12860,AT1G48500
AT1G12860,AT1G70700
AT1G12860,AT2G39810
AT1G12860,AT2G43790
AT1G12860,AT3G24140
AT1G12860,AT3G45640
AT1G12900,AT1G18080
AT1G12900,AT3G11630
AT1G12920,AT2G42790
AT1G12920,AT3G58750
AT1G12980,AT1G14920
AT1G12980,AT1G30490
AT1G12980,AT2G40330
AT1G12980,AT5G08130
AT1G13020,AT3G54170
AT1G13020,AT4G18710
AT1G13120,AT3G53110
AT1G13180,AT1G29170
AT1G13180,AT4G26080
AT1G13180,AT5G57050
AT1G13260,AT1G14900
AT1G13260,AT1G15750
AT1G13260,AT3G15880
AT1G13260,AT3G16830
AT1G13260,AT3G50500
AT1G13260,AT4G15090
AT1G13260,AT4G33950
AT1G13260,AT5G19000
AT1G13260,AT5G27030
AT1G13260,AT5G66880
AT1G13320,AT1G50370
AT1G13320,AT1G75080
AT1G13320,AT3G07370
AT1G13320,AT3G08780
AT1G13320,AT3G26020
AT1G13370,AT4G28910
AT1G13440,AT1G13440
AT1G13440,AT1G18080
AT1G13440,AT2G01830
AT1G13440,AT3G04120
AT1G13440,AT3G11630
AT1G13440,AT4G35790
AT1G13440,AT5G15090
AT1G13460,AT1G75080
AT1G13570,AT1G20140
AT1G13570,AT1G75950
AT1G13570,AT3G21850
AT1G13570,AT3G60010
AT1G13570,AT4G34210
AT1G13570,AT4G34470
AT1G13570,AT5G42190
AT1G13690,AT2G01950
AT1G13930,AT3G11630
AT1G13930,AT3G21630
AT1G13980,AT1G13980
AT1G13980,AT2G01830
AT1G13980,AT2G29960
AT1G13980,AT3G11410
AT1G14000,AT2G01950
AT1G14030,AT1G17590
AT1G14030,AT1G30460
AT1G14030,AT1G49720
AT1G14030,AT1G51600
AT1G14030,AT1G68810
AT1G14030,AT1G69690
AT1G14030,AT2G25000
AT1G14030,AT3G13960
AT1G14030,AT3G15030
AT1G14030,AT3G47620
AT1G14030,AT4G04885
AT1G14030,AT4G32570
AT1G14030,AT5G15210
AT1G14320,AT5G05800
AT1G14320,AT5G16000
AT1G14390,AT1G31420
AT1G14390,AT1G53430
AT1G14390,AT1G73080
AT1G14390,AT2G01950
AT1G14390,AT2G31880
AT1G14390,AT2G35620
AT1G14390,AT3G28450
AT1G14390,AT3G49670
AT1G14390,AT4G20940
AT1G14390,AT4G28650
AT1G14390,AT5G06320
AT1G14390,AT5G49760
AT1G14390,AT5G65700
AT1G14410,AT2G05210
AT1G14410,AT3G11630
AT1G14510,AT2G02470
AT1G14510,AT3G11200
AT1G14510,AT4G18390
AT1G14510,AT5G28640
AT1G14510,AT5G44280
AT1G14740,AT1G14740
AT1G14740,AT3G07780
AT1G14740,AT3G63500
AT1G14740,AT5G48160
AT1G14830,AT1G59610
AT1G14830,AT4G29160
AT1G14900,AT2G18380
AT1G14900,AT5G28900
AT1G14920,AT1G19180
AT1G14920,AT1G30120
AT1G14920,AT1G32640
AT1G14920,AT1G53230
AT1G14920,AT1G58100
AT1G14920,AT1G69690
AT1G14920,AT1G70700
AT1G14920,AT1G75080
AT1G14920,AT2G21470
AT1G14920,AT2G25620
AT1G14920,AT2G28550
AT1G14920,AT2G32700
AT1G14920,AT2G36990
AT1G14920,AT2G39840
AT1G14920,AT2G42280
AT1G14920,AT2G43000
AT1G14920,AT2G43010
AT1G14920,AT3G05120
AT1G14920,AT3G05690
AT1G14920,AT3G10480
AT1G14920,AT3G16770
AT1G14920,AT3G17860
AT1G14920,AT3G21175
AT1G14920,AT3G27920
AT1G14920,AT3G47620
AT1G14920,AT3G51260
AT1G14920,AT3G63010
AT1G14920,AT4G04890
AT1G14920,AT4G08920
AT1G14920,AT4G18390
AT1G14920,AT4G21750
AT1G14920,AT4G24210
AT1G14920,AT4G24940
AT1G14920,AT4G26840
AT1G14920,AT4G32570
AT1G14920,AT4G37130
AT1G14920,AT5G14170
AT1G14920,AT5G23290
AT1G14920,AT5G25220
AT1G14920,AT5G29000
AT1G14920,AT5G38420
AT1G14920,AT5G41315
AT1G14920,AT5G47640
AT1G14920,AT5G48170
AT1G14920,AT5G49510
AT1G14920,AT5G59980
AT1G14920,AT5G60120
AT1G14960,AT1G54840
AT1G15130,AT1G15130
AT1G15130,AT3G12400
AT1G15130,AT3G17860
AT1G15130,AT4G16144
AT1G15130,AT4G29160
AT1G15130,AT5G03240
AT1G15130,AT5G13860
AT1G15130,AT5G64430
AT1G15200,AT4G08150
AT1G15200,AT4G37260
AT1G15215,AT1G15215
AT1G15215,AT3G42670
AT1G15215,AT4G11130
AT1G15290,AT1G18080
AT1G15570,AT1G18040
AT1G15570,AT1G66750
AT1G15570,AT1G73690
AT1G15570,AT1G76540
AT1G15570,AT2G23430
AT1G15570,AT2G38620
AT1G15570,AT3G24140
AT1G15570,AT3G48150
AT1G15570,AT3G48750
AT1G15570,AT3G54180
AT1G15570,AT4G28230
AT1G15570,AT5G28900
AT1G15570,AT5G63610
AT1G15690,AT3G57870
AT1G15690,AT5G06320
AT1G15730,AT1G25490
AT1G15750,AT1G15750
AT1G15750,AT1G18330
AT1G15750,AT1G19180
AT1G15750,AT1G19350
AT1G15750,AT1G46480
AT1G15750,AT1G51950
AT1G15750,AT1G53230
AT1G15750,AT1G72450
AT1G15750,AT1G73100
AT1G15750,AT1G75080
AT1G15750,AT2G19520
AT1G15750,AT2G25180
AT1G15750,AT2G28550
AT1G15750,AT2G33550
AT1G15750,AT2G37630
AT1G15750,AT2G38300
AT1G15750,AT2G45660
AT1G15750,AT2G46790
AT1G15750,AT3G02550
AT1G15750,AT3G05670
AT1G15750,AT3G10480
AT1G15750,AT3G10490
AT1G15750,AT3G11260
AT1G15750,AT3G13360
AT1G15750,AT3G15030
AT1G15750,AT3G15210
AT1G15750,AT3G15540
AT1G15750,AT3G17900
AT1G15750,AT3G20310
AT1G15750,AT3G23050
AT1G15750,AT3G24150
AT1G15750,AT3G24440
AT1G15750,AT3G50000
AT1G15750,AT3G50060
AT1G15750,AT3G57390
AT1G15750,AT3G59150
AT1G15750,AT4G11660
AT1G15750,AT4G14560
AT1G15750,AT4G14720
AT1G15750,AT4G18390
